Row ID,Order Date,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,year,month,quarter,day_of_week,delivery_days
24,2018-07-16,2018-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2018,7,3,0,2
25,2016-09-25,2016-09-30,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,2016,9,3,6,5
26,2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2017,1,1,0,4
27,2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,2017,1,1,0,4
28,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,2016,9,3,5,4
29,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2016,9,3,5,4
30,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,2016,9,3,5,4
31,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2016,9,3,5,4
32,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,2016,9,3,5,4
33,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,2016,9,3,5,4
34,2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2016,9,3,5,4
35,2018-10-19,2018-10-23,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,2018,10,4,4,4
36,2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,2017,12,4,4,2
37,2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,2017,12,4,4,2
38,2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,2016,12,4,1,4
39,2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,2016,12,4,1,4
40,2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,2016,12,4,1,4
41,2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,2016,12,4,1,4
42,2018-09-10,2018-09-15,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,2018,9,3,0,5
43,2017-07-17,2017-07-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2017,7,3,0,5
44,2018-09-19,2018-09-23,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2018,9,3,2,4
45,2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2017,3,1,5,2
46,2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2017,3,1,5,2
47,2015-10-20,2015-10-25,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,2015,10,4,1,5
48,2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,2017,6,2,1,5
49,2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2017,6,2,1,5
50,2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,2016,4,2,0,4
51,2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,2016,4,2,0,4
52,2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2016,4,2,0,4
53,2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,2016,4,2,0,4
54,2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,2017,12,4,0,6
55,2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,2017,12,4,0,6
56,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,2017,6,2,5,1
57,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,2017,6,2,5,1
58,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,2017,6,2,5,1
59,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2017,6,2,5,1
60,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Technology,Accessories,30.0,2017,6,2,5,1
61,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,2017,6,2,5,1
62,2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,2017,6,2,5,1
63,2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2016,11,4,3,6
64,2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,2016,11,4,3,6
65,2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,2016,11,4,3,6
66,2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,2016,11,4,3,6
67,2016-04-30,2016-05-05,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,2016,4,2,5,5
68,2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,2015,12,4,5,5
69,2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,2015,12,4,5,5
70,2017-06-04,2017-06-06,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2017,6,2,6,2
71,2017-09-18,2017-09-23,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,2017,9,3,0,5
72,2018-09-14,2018-09-17,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,2018,9,3,4,3
73,2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,2016,4,2,1,6
74,2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2016,4,2,1,6
75,2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,2016,4,2,1,6
76,2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,2018,12,4,6,2
77,2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,2018,12,4,6,2
78,2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,2018,12,4,6,2
79,2015-11-26,2015-12-01,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,2015,11,4,3,5
80,2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,2017,6,2,0,3
81,2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,2017,6,2,0,3
82,2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,2015,10,4,0,4
83,2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,2015,10,4,0,4
84,2016-09-03,2016-09-08,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,2016,9,3,5,5
85,2018-11-13,2018-11-16,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,2018,11,4,1,3
86,2018-05-28,2018-05-30,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2018,5,2,0,2
87,2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,2018,10,4,4,7
88,2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2018,10,4,4,7
89,2017-04-05,2017-04-10,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,2017,4,2,2,5
90,2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,2017,9,3,6,5
91,2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2017,9,3,6,5
92,2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,2017,9,3,6,5
93,2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2016,1,1,6,5
94,2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,2016,1,1,6,5
95,2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2016,1,1,6,5
96,2018-11-06,2018-11-12,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,2018,11,4,1,6
97,2018-11-09,2018-11-11,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,2018,11,4,4,2
98,2018-06-17,2018-06-20,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,2018,6,2,6,3
99,2017-09-06,2017-09-11,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,2017,9,3,2,5
100,2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,2017,8,3,1,4
101,2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,2017,8,3,1,4
102,2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,2017,8,3,1,4
103,2017-12-01,2017-12-04,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,2017,12,4,4,3
104,2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,2016,11,4,6,4
105,2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,2016,11,4,6,4
106,2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,2016,11,4,6,4
107,2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,2018,11,4,4,5
108,2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,2018,11,4,4,5
109,2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,2018,11,4,4,5
110,2016-10-15,2016-10-20,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,2016,10,4,5,5
111,2018-12-25,2018-12-30,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2018,12,4,1,5
112,2017-11-03,2017-11-10,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2017,11,4,4,7
113,2017-11-03,2017-11-10,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,2017,11,4,4,7
114,2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,2015,8,3,1,2
115,2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2015,8,3,1,2
116,2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,2015,8,3,1,2
117,2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,2015,8,3,1,2
118,2016-03-02,2016-03-06,Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,2016,3,1,2,4
119,2016-04-05,2016-04-10,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,2016,4,2,1,5
120,2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,2017,6,2,0,3
121,2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,2017,6,2,0,3
122,2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,2017,6,2,0,3
123,2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,2017,6,2,0,3
124,2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,2017,6,2,0,3
125,2015-12-26,2015-12-28,Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,2015,12,4,5,2
126,2015-09-20,2015-09-25,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,2015,9,3,6,5
127,2018-11-05,2018-11-12,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2018,11,4,0,7
128,2018-11-05,2018-11-12,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,2018,11,4,0,7
129,2017-11-06,2017-11-10,Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2017,11,4,0,4
130,2017-11-06,2017-11-10,Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,2017,11,4,0,4
131,2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,2018,2,1,4,3
132,2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2018,2,1,4,3
133,2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,2018,2,1,4,3
134,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,2017,10,4,4,6
135,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,2017,10,4,4,6
136,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,2017,10,4,4,6
137,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2017,10,4,4,6
138,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,2017,10,4,4,6
139,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,2017,10,4,4,6
140,2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,2017,10,4,4,6
141,2017-09-05,2017-09-07,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2017,9,3,1,2
142,2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,2018,9,3,1,5
143,2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,2018,9,3,1,5
144,2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,2018,9,3,1,5
145,2018-12-22,2018-12-27,Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,2018,12,4,5,5
146,2016-09-07,2016-09-12,Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,2016,9,3,2,5
147,2015-10-22,2015-10-28,Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,2015,10,4,3,6
148,2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,2017,12,4,1,4
149,2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,2017,12,4,1,4
150,2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,2017,12,4,1,4
151,2017-12-05,2017-12-09,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,2017,12,4,1,4
152,2017-03-13,2017-03-16,First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,2017,3,1,0,3
153,2017-03-13,2017-03-16,First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2017,3,1,0,3
154,2016-05-31,2016-06-02,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,2016,5,2,1,2
155,2016-05-31,2016-06-02,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,2016,5,2,1,2
156,2016-05-31,2016-06-02,First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,2016,5,2,1,2
157,2016-05-28,2016-06-03,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,2016,5,2,5,6
158,2015-03-01,2015-03-06,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2015,3,1,6,5
159,2017-11-20,2017-11-24,Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2017,11,4,0,4
160,2017-11-20,2017-11-24,Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,2017,11,4,0,4
161,2017-05-11,2017-05-12,First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,2017,5,2,3,1
162,2016-12-28,2016-12-31,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2016,12,4,2,3
163,2017-11-16,2017-11-20,Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,2017,11,4,3,4
164,2017-11-07,2017-11-11,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2017,11,4,1,4
165,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,2015,9,3,1,4
166,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,2015,9,3,1,4
167,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,2015,9,3,1,4
168,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,2015,9,3,1,4
169,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,2015,9,3,1,4
170,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,2015,9,3,1,4
171,2015-09-08,2015-09-12,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,2015,9,3,1,4
172,2015-08-05,2015-08-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,2015,8,3,2,4
173,2015-08-05,2015-08-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2015,8,3,2,4
174,2015-08-05,2015-08-09,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,2015,8,3,2,4
175,2015-09-14,2015-09-19,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2015,9,3,0,5
176,2015-09-14,2015-09-19,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,2015,9,3,0,5
177,2018-04-21,2018-04-25,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,2018,4,2,5,4
178,2016-11-21,2016-11-23,Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,2016,11,4,0,2
179,2016-11-21,2016-11-23,Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,2016,11,4,0,2
180,2016-12-15,2016-12-19,Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,2016,12,4,3,4
181,2015-12-05,2015-12-09,Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2015,12,4,5,4
182,2015-12-05,2015-12-09,Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,2015,12,4,5,4
183,2015-11-19,2015-11-24,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,2015,11,4,3,5
184,2015-11-19,2015-11-24,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,2015,11,4,3,5
185,2015-11-19,2015-11-24,Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29.0,2015,11,4,3,5
186,2017-11-28,2017-12-02,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2017,11,4,1,4
187,2015-08-26,2015-08-30,Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,2015,8,3,2,4
188,2017-07-16,2017-07-22,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,2017,7,3,6,6
189,2017-07-16,2017-07-22,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,2017,7,3,6,6
190,2016-10-12,2016-10-14,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,2016,10,4,2,2
191,2016-10-12,2016-10-14,First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,2016,10,4,2,2
192,2016-10-12,2016-10-14,First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,2016,10,4,2,2
193,2016-10-12,2016-10-14,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,2016,10,4,2,2
194,2016-10-12,2016-10-14,First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,2016,10,4,2,2
195,2016-10-31,2016-11-06,Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,2016,10,4,0,6
196,2015-03-21,2015-03-25,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,2015,3,1,5,4
197,2015-03-21,2015-03-25,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,2015,3,1,5,4
198,2018-11-06,2018-11-13,Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,2018,11,4,1,7
199,2018-07-06,2018-07-13,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2018,7,3,4,7
200,2018-07-06,2018-07-13,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,2018,7,3,4,7
201,2018-06-24,2018-06-29,Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,2018,6,2,6,5
202,2015-08-03,2015-08-05,First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2015,8,3,0,2
203,2015-08-03,2015-08-05,First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,2015,8,3,0,2
204,2018-12-17,2018-12-21,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.284,2018,12,4,0,4
205,2018-06-03,2018-06-07,Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,2018,6,2,6,4
206,2018-12-09,2018-12-14,Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.768,2018,12,4,6,5
207,2018-12-01,2018-12-07,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,2018,12,4,5,6
208,2018-12-01,2018-12-07,Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2018,12,4,5,6
209,2018-12-01,2018-12-07,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,2018,12,4,5,6
210,2018-12-01,2018-12-07,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,2018,12,4,5,6
211,2018-12-01,2018-12-07,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,2018,12,4,5,6
212,2016-02-09,2016-02-13,Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2016,2,1,1,4
213,2016-01-02,2016-01-09,Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2016,1,1,5,7
214,2016-01-02,2016-01-09,Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,2016,1,1,5,7
215,2016-01-02,2016-01-09,Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.982,2016,1,1,5,7
216,2016-01-02,2016-01-09,Standard Class,Corporate,Medina,Ohio,East,Technology,Machines,1188.0,2016,1,1,5,7
